sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Vietnam Red soccer jersey 1 set",,Fashion,configurable,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Coordinated Set",base,"Vietnam Red soccer jersey 1 set","<div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  body {
    font-family: Arial, sans-serif;
    margin: auto 0;
  }
  .product-description {
    margin: 0 auto;
    padding: 10px 0;
    max-width: 1180px;
    text-align: left;
  }
  .product-info {
    margin-bottom: 10px;
  }
  .product-info label {
    font-weight: bold;
    display: block;
  }
  .product-info li strong {
    font-weight: bold;
  }
  .product-info::after {
    content: '';
    display: table;
    clear: both;
  }
  .product-info label {
    float: left;
    width: 150px;
  }
  .product-info span {
    display: block;
    margin-left: 160px;
  }
</style>

<div class=""product-description"">
  <h2>Overview</h2>
  <p>The Vietnam Red soccer jersey 1 set holds a special place in the hearts of Vietnamese football enthusiasts. Originating from the rich football culture of Vietnam, these jerseys symbolize the passion and dedication of local players. Over the years, they have become iconic symbols of unity and pride for Vietnamese football teams, showcasing the nation's love for the beautiful game.</p>
  
  <h2>Product Details</h2>
  <div class=""product-info"">
    <label><strong>Product Name:</strong></label>
    <span>Vietnam Red Soccer Jersey 1 Set</span>
  </div>
  <div class=""product-info"">
    <label><strong>Brand:</strong></label>
    <span>Vietnamese Football Gear</span>
  </div>
  <div class=""product-info"">
    <label><strong>Origin:</strong></label>
    <span>Vietnam</span>
  </div>
  <div class=""product-info"">
    <label><strong>Material:</strong></label>
    <span>Breathable polyester</span>
  </div>
  <div class=""product-info"">
    <label><strong>Style:</strong></label>
    <span>Full sleeve, round neck</span>
  </div>
  <div class=""product-info"">
    <label><strong>Collar:</strong></label>
    <span>Ribbed collar</span>
  </div>
  <div class=""product-info"">
    <label><strong>Sleeve:</strong></label>
    <span>Elastic cuffs</span>
  </div>
  <div class=""product-info"">
    <label><strong>Zipper:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Pockets:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Usage:</strong></label>
    <span>Ideal for playing football, training sessions, and casual wear</span>
  </div>
</div>
</div><div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  table {
    width: 100%;
    border-collapse: collapse;
    margin-bottom: 20px;
    max-width: 1180px;
  }
  th, td {
    border: 1px solid #dddddd;
    text-align: center;
    padding: 8px;
    min-width: 80px;
  }
  th {
    background-color: #f2f2f2;
  }

  @media (max-width: 992px) {
    .table {
      max-width: 960px;
      padding-left: 20px;
      padding-right: 20px;
    }
  }

  @media (max-width: 768px) {
    .table {
      max-width: 720px;
      padding: 0 20px;
      margin: 0px;
    }
  }

  @media (max-width: 576px) {
    .table {
      max-width: 540px;
      margin: 0px;
    }
  }
</style>
</head>
<body>
<div class=""table"" style=""margin: 0 auto""><table style=""margin: 0 auto"">
  <tr>
    <th>Size</th>
    <th>S</th>
    <th>M</th>
    <th>L</th>
    <th>XL</th>
    <th>XXL</th>
  </tr>
  <tr>
    <td>Height (cm)</td>
    <td>160-165</td>
    <td>164-169</td>
    <td>170-174</td>
    <td>174-176</td>
    <td>175-177</td>
  </tr>
  <tr>
    <td>Weight (kg)</td>
    <td>55-60</td>
    <td>60-65</td>
    <td>66-70</td>
    <td>70-78</td>
    <td>76-80</td>
  </tr>
</table></div>


</body>
</html></div>","The Vietnam Red soccer jersey 1 set is designed for passionate football players in Vietnam. With its striking red color and high-quality materials, this jersey set is sure to inspire confidence and performance on the field.",8.000000,1,0,"Catalog, Search",,,,,vietnam-red-soccer-jersey-1-set,"Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set ",/a/o/aocodosaovang.jpg,,/a/o/aocodosaovang.jpg,,/a/o/aocodosaovang.jpg,,/a/o/aocodosaovang.jpg,,"4/5/24, 3:05 AM","4/5/24, 3:29 AM",,,"Block after Info Column",,,,"Use config",,,,,"Product -- Full Width",,"Use config",Vietnam,"product_image_size=Default,sw_featured=No",0.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/a/o/aocodosaovang.jpg,/a/o/aocodosaovang2.jpg,/a/o/aocodosaovang1.jpg",",,",,,,,,,,,,,,"sku=Vietnam Red soccer jersey 1 set-Medium-Male-Red,size=Medium,sex=Male,color=Red|sku=Vietnam Red soccer jersey 1 set-Large-Male-Red,size=Large,sex=Male,color=Red|sku=Vietnam Red soccer jersey 1 set-Extra Large-Male-Red,size=Extra Large,sex=Male,color=Red","size=Size,sex=Sex,color=Color"
"Vietnam Red soccer jersey 1 set-Medium-Male-Red",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Coordinated Set",base,"Vietnam Red soccer jersey 1 set-Medium-Male-Red","<div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  body {
    font-family: Arial, sans-serif;
    margin: auto 0;
  }
  .product-description {
    margin: 0 auto;
    padding: 10px 0;
    max-width: 1180px;
    text-align: left;
  }
  .product-info {
    margin-bottom: 10px;
  }
  .product-info label {
    font-weight: bold;
    display: block;
  }
  .product-info li strong {
    font-weight: bold;
  }
  .product-info::after {
    content: '';
    display: table;
    clear: both;
  }
  .product-info label {
    float: left;
    width: 150px;
  }
  .product-info span {
    display: block;
    margin-left: 160px;
  }
</style>

<div class=""product-description"">
  <h2>Overview</h2>
  <p>The Vietnam Red soccer jersey 1 set holds a special place in the hearts of Vietnamese football enthusiasts. Originating from the rich football culture of Vietnam, these jerseys symbolize the passion and dedication of local players. Over the years, they have become iconic symbols of unity and pride for Vietnamese football teams, showcasing the nation's love for the beautiful game.</p>
  
  <h2>Product Details</h2>
  <div class=""product-info"">
    <label><strong>Product Name:</strong></label>
    <span>Vietnam Red Soccer Jersey 1 Set</span>
  </div>
  <div class=""product-info"">
    <label><strong>Brand:</strong></label>
    <span>Vietnamese Football Gear</span>
  </div>
  <div class=""product-info"">
    <label><strong>Origin:</strong></label>
    <span>Vietnam</span>
  </div>
  <div class=""product-info"">
    <label><strong>Material:</strong></label>
    <span>Breathable polyester</span>
  </div>
  <div class=""product-info"">
    <label><strong>Style:</strong></label>
    <span>Full sleeve, round neck</span>
  </div>
  <div class=""product-info"">
    <label><strong>Collar:</strong></label>
    <span>Ribbed collar</span>
  </div>
  <div class=""product-info"">
    <label><strong>Sleeve:</strong></label>
    <span>Elastic cuffs</span>
  </div>
  <div class=""product-info"">
    <label><strong>Zipper:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Pockets:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Usage:</strong></label>
    <span>Ideal for playing football, training sessions, and casual wear</span>
  </div>
</div>
</div><div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  table {
    width: 100%;
    border-collapse: collapse;
    margin-bottom: 20px;
    max-width: 1180px;
  }
  th, td {
    border: 1px solid #dddddd;
    text-align: center;
    padding: 8px;
    min-width: 80px;
  }
  th {
    background-color: #f2f2f2;
  }

  @media (max-width: 992px) {
    .table {
      max-width: 960px;
      padding-left: 20px;
      padding-right: 20px;
    }
  }

  @media (max-width: 768px) {
    .table {
      max-width: 720px;
      padding: 0 20px;
      margin: 0px;
    }
  }

  @media (max-width: 576px) {
    .table {
      max-width: 540px;
      margin: 0px;
    }
  }
</style>
</head>
<body>
<div class=""table"" style=""margin: 0 auto""><table style=""margin: 0 auto"">
  <tr>
    <th>Size</th>
    <th>S</th>
    <th>M</th>
    <th>L</th>
    <th>XL</th>
    <th>XXL</th>
  </tr>
  <tr>
    <td>Height (cm)</td>
    <td>160-165</td>
    <td>164-169</td>
    <td>170-174</td>
    <td>174-176</td>
    <td>175-177</td>
  </tr>
  <tr>
    <td>Weight (kg)</td>
    <td>55-60</td>
    <td>60-65</td>
    <td>66-70</td>
    <td>70-78</td>
    <td>76-80</td>
  </tr>
</table></div>


</body>
</html></div>","The Vietnam Red soccer jersey 1 set is designed for passionate football players in Vietnam. With its striking red color and high-quality materials, this jersey set is sure to inspire confidence and performance on the field.",8.000000,1,0,"Not Visible Individually",25.000000,,,,vietnam-red-soccer-jersey-1-set-medium-male-red,"Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set ",,,,,,,,,"4/5/24, 3:29 AM","4/5/24, 3:29 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",Vietnam,"color=Red,product_image_size=Default,sex=Male,size=Medium,sw_featured=No",17.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Vietnam Red soccer jersey 1 set-Large-Male-Red",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Coordinated Set",base,"Vietnam Red soccer jersey 1 set-Large-Male-Red","<div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  body {
    font-family: Arial, sans-serif;
    margin: auto 0;
  }
  .product-description {
    margin: 0 auto;
    padding: 10px 0;
    max-width: 1180px;
    text-align: left;
  }
  .product-info {
    margin-bottom: 10px;
  }
  .product-info label {
    font-weight: bold;
    display: block;
  }
  .product-info li strong {
    font-weight: bold;
  }
  .product-info::after {
    content: '';
    display: table;
    clear: both;
  }
  .product-info label {
    float: left;
    width: 150px;
  }
  .product-info span {
    display: block;
    margin-left: 160px;
  }
</style>

<div class=""product-description"">
  <h2>Overview</h2>
  <p>The Vietnam Red soccer jersey 1 set holds a special place in the hearts of Vietnamese football enthusiasts. Originating from the rich football culture of Vietnam, these jerseys symbolize the passion and dedication of local players. Over the years, they have become iconic symbols of unity and pride for Vietnamese football teams, showcasing the nation's love for the beautiful game.</p>
  
  <h2>Product Details</h2>
  <div class=""product-info"">
    <label><strong>Product Name:</strong></label>
    <span>Vietnam Red Soccer Jersey 1 Set</span>
  </div>
  <div class=""product-info"">
    <label><strong>Brand:</strong></label>
    <span>Vietnamese Football Gear</span>
  </div>
  <div class=""product-info"">
    <label><strong>Origin:</strong></label>
    <span>Vietnam</span>
  </div>
  <div class=""product-info"">
    <label><strong>Material:</strong></label>
    <span>Breathable polyester</span>
  </div>
  <div class=""product-info"">
    <label><strong>Style:</strong></label>
    <span>Full sleeve, round neck</span>
  </div>
  <div class=""product-info"">
    <label><strong>Collar:</strong></label>
    <span>Ribbed collar</span>
  </div>
  <div class=""product-info"">
    <label><strong>Sleeve:</strong></label>
    <span>Elastic cuffs</span>
  </div>
  <div class=""product-info"">
    <label><strong>Zipper:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Pockets:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Usage:</strong></label>
    <span>Ideal for playing football, training sessions, and casual wear</span>
  </div>
</div>
</div><div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  table {
    width: 100%;
    border-collapse: collapse;
    margin-bottom: 20px;
    max-width: 1180px;
  }
  th, td {
    border: 1px solid #dddddd;
    text-align: center;
    padding: 8px;
    min-width: 80px;
  }
  th {
    background-color: #f2f2f2;
  }

  @media (max-width: 992px) {
    .table {
      max-width: 960px;
      padding-left: 20px;
      padding-right: 20px;
    }
  }

  @media (max-width: 768px) {
    .table {
      max-width: 720px;
      padding: 0 20px;
      margin: 0px;
    }
  }

  @media (max-width: 576px) {
    .table {
      max-width: 540px;
      margin: 0px;
    }
  }
</style>
</head>
<body>
<div class=""table"" style=""margin: 0 auto""><table style=""margin: 0 auto"">
  <tr>
    <th>Size</th>
    <th>S</th>
    <th>M</th>
    <th>L</th>
    <th>XL</th>
    <th>XXL</th>
  </tr>
  <tr>
    <td>Height (cm)</td>
    <td>160-165</td>
    <td>164-169</td>
    <td>170-174</td>
    <td>174-176</td>
    <td>175-177</td>
  </tr>
  <tr>
    <td>Weight (kg)</td>
    <td>55-60</td>
    <td>60-65</td>
    <td>66-70</td>
    <td>70-78</td>
    <td>76-80</td>
  </tr>
</table></div>


</body>
</html></div>","The Vietnam Red soccer jersey 1 set is designed for passionate football players in Vietnam. With its striking red color and high-quality materials, this jersey set is sure to inspire confidence and performance on the field.",8.000000,1,0,"Not Visible Individually",25.000000,,,,vietnam-red-soccer-jersey-1-set-large-male-red,"Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set ",,,,,,,,,"4/5/24, 3:29 AM","4/5/24, 3:29 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",Vietnam,"color=Red,product_image_size=Default,sex=Male,size=Large,sw_featured=No",13.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"Vietnam Red soccer jersey 1 set-Extra Large-Male-Red",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Coordinated Set",base,"Vietnam Red soccer jersey 1 set-Extra Large-Male-Red","<div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  body {
    font-family: Arial, sans-serif;
    margin: auto 0;
  }
  .product-description {
    margin: 0 auto;
    padding: 10px 0;
    max-width: 1180px;
    text-align: left;
  }
  .product-info {
    margin-bottom: 10px;
  }
  .product-info label {
    font-weight: bold;
    display: block;
  }
  .product-info li strong {
    font-weight: bold;
  }
  .product-info::after {
    content: '';
    display: table;
    clear: both;
  }
  .product-info label {
    float: left;
    width: 150px;
  }
  .product-info span {
    display: block;
    margin-left: 160px;
  }
</style>

<div class=""product-description"">
  <h2>Overview</h2>
  <p>The Vietnam Red soccer jersey 1 set holds a special place in the hearts of Vietnamese football enthusiasts. Originating from the rich football culture of Vietnam, these jerseys symbolize the passion and dedication of local players. Over the years, they have become iconic symbols of unity and pride for Vietnamese football teams, showcasing the nation's love for the beautiful game.</p>
  
  <h2>Product Details</h2>
  <div class=""product-info"">
    <label><strong>Product Name:</strong></label>
    <span>Vietnam Red Soccer Jersey 1 Set</span>
  </div>
  <div class=""product-info"">
    <label><strong>Brand:</strong></label>
    <span>Vietnamese Football Gear</span>
  </div>
  <div class=""product-info"">
    <label><strong>Origin:</strong></label>
    <span>Vietnam</span>
  </div>
  <div class=""product-info"">
    <label><strong>Material:</strong></label>
    <span>Breathable polyester</span>
  </div>
  <div class=""product-info"">
    <label><strong>Style:</strong></label>
    <span>Full sleeve, round neck</span>
  </div>
  <div class=""product-info"">
    <label><strong>Collar:</strong></label>
    <span>Ribbed collar</span>
  </div>
  <div class=""product-info"">
    <label><strong>Sleeve:</strong></label>
    <span>Elastic cuffs</span>
  </div>
  <div class=""product-info"">
    <label><strong>Zipper:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Pockets:</strong></label>
    <span>No</span>
  </div>
  <div class=""product-info"">
    <label><strong>Usage:</strong></label>
    <span>Ideal for playing football, training sessions, and casual wear</span>
  </div>
</div>
</div><div data-content-type=""html"" data-appearance=""default"" data-element=""main""><style>
  table {
    width: 100%;
    border-collapse: collapse;
    margin-bottom: 20px;
    max-width: 1180px;
  }
  th, td {
    border: 1px solid #dddddd;
    text-align: center;
    padding: 8px;
    min-width: 80px;
  }
  th {
    background-color: #f2f2f2;
  }

  @media (max-width: 992px) {
    .table {
      max-width: 960px;
      padding-left: 20px;
      padding-right: 20px;
    }
  }

  @media (max-width: 768px) {
    .table {
      max-width: 720px;
      padding: 0 20px;
      margin: 0px;
    }
  }

  @media (max-width: 576px) {
    .table {
      max-width: 540px;
      margin: 0px;
    }
  }
</style>
</head>
<body>
<div class=""table"" style=""margin: 0 auto""><table style=""margin: 0 auto"">
  <tr>
    <th>Size</th>
    <th>S</th>
    <th>M</th>
    <th>L</th>
    <th>XL</th>
    <th>XXL</th>
  </tr>
  <tr>
    <td>Height (cm)</td>
    <td>160-165</td>
    <td>164-169</td>
    <td>170-174</td>
    <td>174-176</td>
    <td>175-177</td>
  </tr>
  <tr>
    <td>Weight (kg)</td>
    <td>55-60</td>
    <td>60-65</td>
    <td>66-70</td>
    <td>70-78</td>
    <td>76-80</td>
  </tr>
</table></div>


</body>
</html></div>","The Vietnam Red soccer jersey 1 set is designed for passionate football players in Vietnam. With its striking red color and high-quality materials, this jersey set is sure to inspire confidence and performance on the field.",8.000000,1,0,"Not Visible Individually",25.000000,,,,vietnam-red-soccer-jersey-1-set-extra-large-male-red,"Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set","Vietnam Red soccer jersey 1 set ",,,,,,,,,"4/5/24, 3:29 AM","4/5/24, 3:29 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,"Use config",Vietnam,"color=Red,product_image_size=Default,sex=Male,size=Extra Large,sw_featured=No",17.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
"T-shirt Red Flag Yellow Star I Love Vietnam 24h-White-Small-Male",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Tops",base,"T-shirt Red Flag Yellow Star I Love Vietnam 24h-White-Small-Male",,,6.000000,1,0,"Not Visible Individually",14.000000,,,,t-shirt-red-flag-yellow-star-i-love-vietnam-24h-white-small-male,"T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h ",/a/o/aothunnam2_1.jpg,,/a/o/aothunnam2_1.jpg,,/a/o/aothunnam2_1.jpg,,,,"4/5/24, 3:38 AM","4/5/24, 3:38 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,Vietnam,"color=White,product_image_size=Default,sex=Male,size=Small,sw_featured=No",20.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/o/aothunnam2_1.jpg,,,,,,,,,,,,,,
"T-shirt Red Flag Yellow Star I Love Vietnam -White-Small-Famale",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Tops",base,"T-shirt Red Flag Yellow Star I Love Vietnam 24h-White-Small-Famale",,,6.000000,1,0,"Not Visible Individually",14.000000,,,,t-shirt-red-flag-yellow-star-i-love-vietnam-24h-white-small-famale,"T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h ",/a/o/aothunnam3_1.jpg,,/a/o/aothunnam3_1.jpg,,/a/o/aothunnam3_1.jpg,,,,"4/5/24, 3:38 AM","4/5/24, 3:38 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,Vietnam,"color=White,product_image_size=Default,sex=Famale,size=Small,sw_featured=No",20.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/o/aothunnam3_1.jpg,,,,,,,,,,,,,,
"T-shirt Red Flag Yellow Star I Love Vietnam-White-Medium-Male",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Tops",base,"T-shirt Red Flag Yellow Star I Love Vietnam 24h-White-Medium-Male",,,6.000000,1,0,"Not Visible Individually",14.000000,,,,t-shirt-red-flag-yellow-star-i-love-vietnam-24h-white-medium-male,"T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h ",/a/o/aothunnam2_2.jpg,,/a/o/aothunnam2_2.jpg,,/a/o/aothunnam2_2.jpg,,,,"4/5/24, 3:38 AM","4/5/24, 3:38 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,Vietnam,"color=White,product_image_size=Default,sex=Male,size=Medium,sw_featured=No",20.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/o/aothunnam2_2.jpg,,,,,,,,,,,,,,
"T-shirt Red Flag Yellow Star I Love Vietnam-White-Medium-Famale",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Tops",base,"T-shirt Red Flag Yellow Star I Love Vietnam 24h-White-Medium-Famale",,,6.000000,1,0,"Not Visible Individually",14.000000,,,,t-shirt-red-flag-yellow-star-i-love-vietnam-24h-white-medium-famale,"T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h ",/a/o/aothunnam3_2.jpg,,/a/o/aothunnam3_2.jpg,,/a/o/aothunnam3_2.jpg,,,,"4/5/24, 3:38 AM","4/5/24, 3:38 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,Vietnam,"color=White,product_image_size=Default,sex=Famale,size=Medium,sw_featured=No",20.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/o/aothunnam3_2.jpg,,,,,,,,,,,,,,
"T-shirt Red Flag Yellow Star I Love Vietnam-White-Large-Male",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Tops",base,"T-shirt Red Flag Yellow Star I Love Vietnam 24h-White-Large-Male",,,6.000000,1,0,"Not Visible Individually",14.000000,,,,t-shirt-red-flag-yellow-star-i-love-vietnam-24h-white-large-male,"T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h ",/a/o/aothunnam2_3.jpg,,/a/o/aothunnam2_3.jpg,,/a/o/aothunnam2_3.jpg,,,,"4/5/24, 3:38 AM","4/5/24, 3:38 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,Vietnam,"color=White,product_image_size=Default,sex=Male,size=Large,sw_featured=No",20.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/o/aothunnam2_3.jpg,,,,,,,,,,,,,,
"T-shirt Red Flag Yellow Star I Love Vietnam-White-Large-Famale",,Fashion,simple,"Default Category,Default Category/Viet Nam,Default Category/Viet Nam/Fashion,Default Category/Viet Nam/Fashion/Tops",base,"T-shirt Red Flag Yellow Star I Love Vietnam 24h-White-Large-Famale",,,6.000000,1,0,"Not Visible Individually",14.000000,,,,t-shirt-red-flag-yellow-star-i-love-vietnam-24h-white-large-famale,"T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h","T-shirt Red Flag Yellow Star I Love Vietnam 24h ",/a/o/aothunnam3_3.jpg,,/a/o/aothunnam3_3.jpg,,/a/o/aothunnam3_3.jpg,,,,"4/5/24, 3:38 AM","4/5/24, 3:38 AM",,,"Block after Info Column",,,,No,,,,,"Product -- Full Width",,,Vietnam,"color=White,product_image_size=Default,sex=Famale,size=Large,sw_featured=No",20.0000,0.0000,1,0,0,1,1,1,10000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/o/aothunnam3_3.jpg,,,,,,,,,,,,,,
